"ordinal","song_id","title","primary","credit","role","version","inventory_year","status","source_title","isrcs","appearances","earliest_verified_appearance","source_url","review_reasons"
"86","b756a2f8-ad95-4807-b51c-d5a7c6bc1d4b","Stars Align","Majid Jordan","Majid Jordan feat. Drake","Feature","Original","2021","needs_review","Stars Align","USWB12104261","3","2021-10-22","https://musicbrainz.org/recording/d50d37e2-f5cc-4d1b-9d41-166aa2af7b12","feature_list_conflicts_with_joint_primary_source_billing"
"87","35247a5a-30d1-4507-8001-121c62447649","P power","Gunna","Gunna feat. Drake","Feature","Original","2022","approved","P power","QMCE32200042","6","2022-01-07","https://musicbrainz.org/recording/f2d26e9e-6d7e-44c4-a6d7-a6f2ad72222b",""
"88","77de7ee3-2af4-4085-aabc-1f53fe2b761e","I'm on One","Future","Future feat. Drake","Feature","Original","2022","approved","I’M ON ONE","USSM12203797;USSM12203886","6","2022-04-27","https://musicbrainz.org/recording/3c91bfc8-a493-452b-86d9-a9420b9c2ed3","additional_recording_identities_require_review"
"89","02a01dcc-fa15-470b-8e36-929d304a6a3c","WAIT FOR U","Future","Future feat. Drake & Tems","Feature","Original","2022","approved","WAIT FOR U","USSM12203789","6","2022-04-27","https://musicbrainz.org/recording/1185dba0-4802-48a4-9441-e6259a3d84b0","additional_recording_identities_require_review"
"90","86f12330-d6ef-4780-b8e0-e05904c279e4","Churchill Downs","Jack Harlow","Jack Harlow feat. Drake","Feature","Original","2022","approved","Churchill Downs","USAT22203487;USAT22203500","9","2022-05-06","https://musicbrainz.org/recording/9973396c-6154-4e85-9016-bf5424aea466","additional_recording_identities_require_review"
"91","782dd6ca-ddc0-4783-846f-07c3b1479204","STAYING ALIVE","DJ Khaled","DJ Khaled feat. Drake & Lil Baby","Feature","Original","2022","approved","STAYING ALIVE","USSM12206682;USSM12206683","4","2022-01-01","https://musicbrainz.org/recording/1f626989-1f7c-428c-99ed-9d5954f30d2d","additional_recording_identities_require_review"
"92","2548193c-da6d-46a5-8fb7-1137e75b1384","Never Hating","Lil Baby","Lil Baby feat. Young Thug","REVIEW — verify Drake performance before import eligibility","Unspecified — requires review","2022","needs_review","Never Hating","USUG12207232","1","2022-10-14","https://musicbrainz.org/recording/a6dd2f0b-e7ad-4ff8-87c6-ecfb1bcd69d5","source_credit_does_not_establish_drake_performance;master_list_requires_performing_credit_verification"
"93","32890924-5730-4312-bc73-3861db44dacd","Oh U Went","Young Thug","Young Thug feat. Drake","Feature","Original","2023","approved","Oh U Went","USAT22306750;USAT22306783","8","2023-06-22","https://musicbrainz.org/recording/f69abb3d-d7bd-4ce4-bfd9-aa8708a88426",""
"94","0b40e8b9-c20f-4f00-b1ed-47ec60399d58","MELTDOWN","Travis Scott","Travis Scott feat. Drake","Feature","Original","2023","approved","MELTDOWN","USSM12305021;USSM12305874;USSM12305876","16","2023-07-28","https://musicbrainz.org/recording/03510dcb-0a80-4aac-ac11-baf75dddfd17",""
"95","ca1f2d02-72a7-4dcc-bf23-656f77a1cc2b","Act II: Date @ 8 (Remix)","4Batz","4Batz feat. Drake","Feature","Alternate / Remix","2024","approved","act ii: date @ 8 (remix)","USLD91756695;USLD91756702","2","2024-03-08","https://musicbrainz.org/recording/bb6047f2-d43a-474e-9dfe-a15fec06e4b8",""
"96","32dd9206-e782-4089-9b25-4cbbe82fd8df","Modo Capone","Chino Pacas","Chino Pacas feat. Drake","Feature","Original","2024","needs_review","Modo Capone","","1","2024-10-18","https://musicbrainz.org/recording/796dd771-4a2f-4678-a3a6-1db66840dbcc","feature_list_conflicts_with_joint_primary_source_billing;supplied_artist_credit_differs_from_source_credit"
